IDENTITAS,UMUR,JENIS_KELAMIN,PENGALAMAN_MENGEMUDI,PENDIDIKAN,PENGHASILAN,SKOR_KREDIT,PEMILIK_KENDARAAN,TAHUN_PRODUKSI,STATUS,ANAK,KODE_POS,KM_PER_TAHUN,JENIS_KENDARAAN,TILANG_NGEBUT,TILANG_MABUK,KECELAKAAN_SEBELUMNYA,KLAIM
918977,antara 25-40 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.3324202407398227,ya,sebelum 2020,menikah,ada,32765,6000.0,keluarga,0,0,0,ya
66436,antara 40-65 tahun,perempuan,antara 20-30 tahun,tidak ada,antara 2-3x UMR,0.6969278624817129,ya,sebelum 2020,menikah,ada,10238,8000.0,keluarga,2,0,1,tidak
998817,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,antara 2-3x UMR,0.5124333302576248,tidak,sebelum 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,1,tidak
991767,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.5077832022402061,ya,setelah 2020,menikah,ada,32765,9000.0,keluarga,8,3,2,tidak
718329,antara 40-65 tahun,perempuan,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.6106779866259634,ya,setelah 2020,menikah,tidak ada,10238,10000.0,keluarga,0,0,0,tidak
35676,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,antara 2-3x UMR,0.4681862803875717,tidak,sebelum 2020,menikah,ada,32765,10000.0,keluarga,2,0,0,tidak
149822,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.5368074511707565,ya,sebelum 2020,menikah,ada,32765,10000.0,keluarga,5,2,6,tidak
154730,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.5225798430981168,tidak,sebelum 2020,belum menikah,ada,10238,15000.0,keluarga,0,0,0,ya
138404,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,SMA,antara 2-3x UMR,,ya,sebelum 2020,belum menikah,ada,10238,14000.0,keluarga,3,0,3,tidak
39769,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.7063009021300406,ya,sebelum 2020,belum menikah,ada,32765,13000.0,keluarga,3,0,0,tidak
353313,antara 25-40 tahun,perempuan,kurang dari 10 tahun,universitas,lebih dari 3x UMR,,ya,sebelum 2020,menikah,ada,32765,,keluarga,0,0,0,tidak
384750,antara 25-40 tahun,perempuan,antara 10-20 tahun,tidak ada,kurang dari UMR,0.2519206257754629,ya,sebelum 2020,belum menikah,tidak ada,10238,16000.0,keluarga,1,0,1,ya
702990,lebih dari 65 tahun,laki-laki,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.6287896754571439,ya,sebelum 2020,menikah,ada,10238,12000.0,keluarga,0,0,0,ya
37612,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,antara 2-3x UMR,,ya,setelah 2020,menikah,ada,32765,13000.0,keluarga,0,0,0,ya
460039,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3474697376210051,ya,sebelum 2020,menikah,ada,10238,9000.0,keluarga,0,0,0,ya
967818,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6443626164167329,ya,sebelum 2020,belum menikah,ada,10238,15000.0,keluarga,2,0,2,tidak
747358,antara 40-65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.5918523820851359,ya,setelah 2020,menikah,tidak ada,10238,13000.0,keluarga,0,0,2,tidak
893038,antara 40-65 tahun,perempuan,kurang dari 10 tahun,SMA,lebih dari 3x UMR,0.5999650374288553,ya,setelah 2020,belum menikah,tidak ada,10238,14000.0,keluarga,0,0,0,tidak
191998,antara 25-40 tahun,laki-laki,antara 10-20 tahun,SMA,antara 2-3x UMR,,ya,sebelum 2020,belum menikah,ada,10238,,keluarga,2,0,2,tidak
187211,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,SMA,antara 1-2x UMR,0.5754871515595443,ya,sebelum 2020,belum menikah,ada,10238,15000.0,keluarga,1,0,0,tidak
721133,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,kurang dari UMR,0.2702954388026858,tidak,sebelum 2020,belum menikah,ada,32765,7000.0,keluarga,0,0,0,ya
233586,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,kurang dari UMR,0.227390576405316,ya,sebelum 2020,menikah,ada,92101,7000.0,keluarga,1,0,1,tidak
721087,antara 40-65 tahun,perempuan,antara 10-20 tahun,SMA,antara 2-3x UMR,0.5459357710295333,ya,sebelum 2020,belum menikah,ada,10238,11000.0,keluarga,0,0,0,tidak
8464,lebih dari 65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,,ya,setelah 2020,menikah,ada,10238,,keluarga,3,0,2,tidak
881654,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,universitas,kurang dari UMR,0.3934557420190439,ya,sebelum 2020,belum menikah,tidak ada,32765,16000.0,keluarga,0,0,0,tidak
118275,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,kurang dari UMR,0.2929493276037433,tidak,sebelum 2020,belum menikah,ada,32765,10000.0,keluarga,0,0,0,ya
45171,antara 40-65 tahun,perempuan,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.5861167283031539,tidak,sebelum 2020,belum menikah,ada,92101,10000.0,keluarga,1,0,0,tidak
777163,antara 40-65 tahun,perempuan,kurang dari 10 tahun,SMA,lebih dari 3x UMR,0.5890667801274297,ya,sebelum 2020,menikah,ada,32765,11000.0,keluarga,0,0,0,tidak
192271,antara 40-65 tahun,perempuan,antara 20-30 tahun,tidak ada,antara 2-3x UMR,0.5310233106225158,ya,sebelum 2020,menikah,ada,10238,12000.0,keluarga,0,3,2,tidak
651533,antara 40-65 tahun,perempuan,antara 20-30 tahun,tidak ada,antara 1-2x UMR,0.462958707196909,ya,sebelum 2020,menikah,ada,21217,13000.0,keluarga,3,0,1,ya
173148,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,antara 2-3x UMR,0.5833923407107925,tidak,sebelum 2020,belum menikah,tidak ada,10238,15000.0,keluarga,0,2,1,tidak
699342,lebih dari 65 tahun,laki-laki,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.5187922007587116,ya,sebelum 2020,menikah,ada,10238,,keluarga,0,0,0,tidak
475662,antara 40-65 tahun,perempuan,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6000842789359292,tidak,sebelum 2020,menikah,ada,10238,13000.0,sport,1,0,1,tidak
961235,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,antara 2-3x UMR,0.582925835203462,ya,sebelum 2020,belum menikah,tidak ada,10238,12000.0,sport,0,0,1,tidak
255743,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,SMA,antara 2-3x UMR,,ya,setelah 2020,belum menikah,ada,10238,11000.0,keluarga,4,1,8,tidak
265584,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.623114483961224,tidak,sebelum 2020,menikah,ada,10238,10000.0,keluarga,1,0,0,tidak
855349,antara 25-40 tahun,laki-laki,antara 10-20 tahun,SMA,antara 2-3x UMR,0.7534458230449081,ya,sebelum 2020,belum menikah,tidak ada,32765,12000.0,keluarga,4,0,1,tidak
901924,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,lebih dari 3x UMR,,ya,sebelum 2020,belum menikah,ada,10238,14000.0,keluarga,0,0,0,tidak
769911,antara 25-40 tahun,laki-laki,antara 10-20 tahun,SMA,antara 1-2x UMR,0.3110188615272209,tidak,sebelum 2020,menikah,ada,10238,10000.0,keluarga,1,0,1,tidak
757194,antara 40-65 tahun,perempuan,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.5172018166072347,ya,setelah 2020,menikah,ada,32765,6000.0,keluarga,0,0,0,tidak
883171,antara 25-40 tahun,perempuan,kurang dari 10 tahun,SMA,kurang dari UMR,0.4351756628940996,ya,sebelum 2020,belum menikah,tidak ada,10238,15000.0,sport,0,0,0,ya
762763,lebih dari 65 tahun,perempuan,kurang dari 10 tahun,SMA,lebih dari 3x UMR,0.8191348424366404,ya,sebelum 2020,menikah,ada,92101,11000.0,keluarga,0,0,0,tidak
10200,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.5224505032873228,tidak,sebelum 2020,menikah,tidak ada,10238,9000.0,keluarga,2,0,6,tidak
123883,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.4687585135474202,ya,sebelum 2020,belum menikah,tidak ada,92101,14000.0,keluarga,0,0,0,ya
992984,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.2869913071211769,tidak,sebelum 2020,belum menikah,ada,10238,13000.0,keluarga,0,0,0,ya
525671,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6559616128626896,ya,setelah 2020,menikah,ada,32765,7000.0,keluarga,2,1,1,tidak
331467,antara 25-40 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.298678278073503,tidak,sebelum 2020,belum menikah,tidak ada,10238,16000.0,keluarga,0,0,0,ya
348410,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 2-3x UMR,0.5310501101632631,ya,setelah 2020,belum menikah,ada,10238,15000.0,keluarga,2,0,0,tidak
493739,lebih dari 65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.499660137787076,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,2,0,6,tidak
297223,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 1-2x UMR,,ya,sebelum 2020,belum menikah,ada,10238,10000.0,keluarga,3,0,4,tidak
362279,antara 25-40 tahun,laki-laki,antara 10-20 tahun,SMA,kurang dari UMR,0.2114238848505276,ya,sebelum 2020,menikah,ada,10238,8000.0,keluarga,0,0,0,tidak
731162,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 2-3x UMR,0.2983062179129552,ya,setelah 2020,belum menikah,ada,10238,11000.0,keluarga,1,0,0,tidak
365704,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 1-2x UMR,0.4429331939161389,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,1,0,3,tidak
406897,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.2536832327772527,ya,sebelum 2020,belum menikah,tidak ada,10238,14000.0,keluarga,0,0,0,ya
541163,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.3089742693210341,ya,sebelum 2020,belum menikah,tidak ada,32765,11000.0,keluarga,0,0,0,ya
69241,antara 25-40 tahun,laki-laki,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.6588498265607253,ya,sebelum 2020,menikah,ada,10238,9000.0,keluarga,0,0,0,ya
984163,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.8064959362542691,tidak,setelah 2020,menikah,ada,21217,14000.0,keluarga,2,0,0,ya
414015,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6131174592847092,ya,sebelum 2020,belum menikah,tidak ada,21217,12000.0,sport,1,0,0,ya
440633,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,antara 2-3x UMR,0.5991275990330529,ya,sebelum 2020,menikah,ada,10238,11000.0,keluarga,2,0,1,tidak
949958,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.4516269504827541,tidak,sebelum 2020,belum menikah,tidak ada,10238,16000.0,keluarga,0,0,0,ya
593282,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,universitas,antara 2-3x UMR,,tidak,sebelum 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,0,ya
310616,lebih dari 65 tahun,perempuan,antara 10-20 tahun,SMA,lebih dari 3x UMR,0.4419299636477104,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,0,0,0,tidak
927587,antara 40-65 tahun,laki-laki,antara 10-20 tahun,universitas,antara 2-3x UMR,,ya,setelah 2020,belum menikah,ada,10238,12000.0,keluarga,2,0,2,tidak
917153,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.2667602155246711,tidak,sebelum 2020,belum menikah,tidak ada,10238,16000.0,keluarga,0,0,0,ya
47113,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.6073189894709127,tidak,sebelum 2020,menikah,ada,10238,17000.0,keluarga,2,0,2,tidak
614012,antara 40-65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.5350458989224304,ya,sebelum 2020,menikah,ada,10238,8000.0,keluarga,1,2,4,tidak
103722,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,antara 2-3x UMR,0.5750947360282379,ya,sebelum 2020,menikah,ada,10238,,keluarga,0,0,2,tidak
192230,lebih dari 65 tahun,perempuan,kurang dari 10 tahun,SMA,lebih dari 3x UMR,,ya,sebelum 2020,belum menikah,ada,10238,12000.0,keluarga,0,0,0,ya
622701,antara 40-65 tahun,perempuan,kurang dari 10 tahun,tidak ada,antara 1-2x UMR,0.5183478114535179,tidak,setelah 2020,belum menikah,ada,10238,12000.0,keluarga,0,0,0,ya
893682,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 2-3x UMR,0.6852652060543032,ya,sebelum 2020,belum menikah,ada,10238,17000.0,keluarga,1,0,0,tidak
25547,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3412755827959321,tidak,sebelum 2020,belum menikah,ada,32765,12000.0,keluarga,0,0,0,ya
184319,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.518727948796731,ya,sebelum 2020,belum menikah,ada,92101,14000.0,keluarga,0,0,0,ya
768080,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 2-3x UMR,0.2036673764213594,ya,setelah 2020,belum menikah,ada,10238,13000.0,keluarga,0,0,2,tidak
520811,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.5240612874798722,tidak,sebelum 2020,belum menikah,tidak ada,32765,15000.0,sport,0,0,0,ya
736894,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.4859360660215372,tidak,sebelum 2020,belum menikah,ada,10238,11000.0,keluarga,0,0,0,ya
431213,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,lebih dari 3x UMR,0.6819701244577162,ya,setelah 2020,menikah,tidak ada,32765,12000.0,keluarga,0,0,1,tidak
856448,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.5156149089821493,ya,sebelum 2020,menikah,ada,10238,,keluarga,1,0,6,tidak
250947,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,antara 2-3x UMR,0.5467610803924773,ya,setelah 2020,belum menikah,ada,10238,16000.0,keluarga,0,0,1,tidak
264604,antara 25-40 tahun,laki-laki,antara 10-20 tahun,tidak ada,antara 2-3x UMR,0.6180001370819622,ya,sebelum 2020,belum menikah,tidak ada,10238,15000.0,keluarga,0,0,0,tidak
142365,antara 25-40 tahun,laki-laki,antara 10-20 tahun,SMA,antara 2-3x UMR,0.3604013242738175,ya,sebelum 2020,menikah,ada,10238,7000.0,keluarga,0,0,0,tidak
252151,antara 40-65 tahun,laki-laki,kurang dari 10 tahun,SMA,lebih dari 3x UMR,0.5509662705066687,ya,sebelum 2020,menikah,tidak ada,21217,15000.0,keluarga,0,0,0,ya
118207,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,universitas,lebih dari 3x UMR,,ya,setelah 2020,menikah,ada,10238,12000.0,keluarga,8,1,1,tidak
30051,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6302062062076871,ya,setelah 2020,menikah,ada,10238,12000.0,keluarga,3,0,3,tidak
572525,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,SMA,antara 2-3x UMR,0.6952820041732881,ya,sebelum 2020,belum menikah,ada,10238,12000.0,keluarga,10,1,5,tidak
776955,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,antara 2-3x UMR,,tidak,sebelum 2020,menikah,ada,10238,16000.0,keluarga,0,0,0,tidak
797155,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,kurang dari UMR,0.3122205327867228,ya,sebelum 2020,belum menikah,tidak ada,10238,15000.0,keluarga,0,1,1,tidak
317561,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.5624884776539817,ya,sebelum 2020,menikah,ada,32765,6000.0,keluarga,17,2,2,tidak
929121,antara 40-65 tahun,perempuan,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.5487401616880897,ya,setelah 2020,belum menikah,ada,10238,12000.0,keluarga,2,0,0,tidak
869489,antara 40-65 tahun,perempuan,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6646112638037833,ya,sebelum 2020,belum menikah,ada,10238,12000.0,keluarga,0,0,0,tidak
957766,antara 40-65 tahun,perempuan,antara 20-30 tahun,universitas,antara 2-3x UMR,0.5494002432161839,ya,sebelum 2020,menikah,ada,10238,8000.0,sport,0,0,1,tidak
290927,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.7085295012178382,ya,sebelum 2020,menikah,ada,10238,12000.0,keluarga,1,0,4,tidak
930316,antara 25-40 tahun,laki-laki,antara 10-20 tahun,SMA,antara 2-3x UMR,0.4610850663254849,ya,sebelum 2020,belum menikah,tidak ada,32765,12000.0,keluarga,0,0,0,tidak
737825,antara 40-65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.5511064646902994,tidak,sebelum 2020,menikah,ada,10238,9000.0,keluarga,1,0,3,tidak
558222,antara 25-40 tahun,perempuan,antara 10-20 tahun,tidak ada,kurang dari UMR,0.4171531938610161,tidak,sebelum 2020,menikah,tidak ada,10238,11000.0,keluarga,0,0,0,ya
676411,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.7048660209412088,ya,sebelum 2020,menikah,ada,32765,10000.0,keluarga,3,0,1,tidak
414748,antara 25-40 tahun,laki-laki,antara 10-20 tahun,tidak ada,kurang dari UMR,0.3888042347468912,tidak,sebelum 2020,menikah,tidak ada,10238,13000.0,keluarga,0,0,1,ya
799058,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.2552813983535689,tidak,sebelum 2020,belum menikah,ada,10238,10000.0,keluarga,0,0,0,ya
478043,antara 25-40 tahun,perempuan,kurang dari 10 tahun,SMA,lebih dari 3x UMR,0.6536655434140923,ya,sebelum 2020,menikah,tidak ada,32765,11000.0,keluarga,0,0,0,ya
563923,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,kurang dari UMR,0.219474431539439,tidak,sebelum 2020,menikah,tidak ada,10238,15000.0,keluarga,0,0,0,tidak
145590,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.5769851119276853,ya,setelah 2020,menikah,ada,10238,11000.0,keluarga,2,0,3,tidak
989895,antara 40-65 tahun,laki-laki,antara 20-30 tahun,tidak ada,antara 2-3x UMR,0.4145561410384915,tidak,sebelum 2020,menikah,ada,10238,11000.0,keluarga,1,1,3,tidak
757274,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.5463033993395577,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,3,1,2,tidak
822944,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.5635429652490147,ya,setelah 2020,menikah,ada,32765,6000.0,keluarga,1,0,2,tidak
57811,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,tidak ada,antara 1-2x UMR,0.260393118704904,tidak,setelah 2020,menikah,ada,10238,12000.0,keluarga,0,3,1,tidak
509652,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.6135080387832703,ya,setelah 2020,menikah,ada,10238,11000.0,keluarga,5,1,2,tidak
342723,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.5249484630181547,ya,sebelum 2020,belum menikah,tidak ada,10238,20000.0,sport,1,0,1,tidak
697174,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 2-3x UMR,0.4288748549654213,ya,sebelum 2020,menikah,tidak ada,10238,13000.0,keluarga,0,0,0,tidak
89556,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.7304737066855177,tidak,sebelum 2020,menikah,ada,10238,9000.0,keluarga,3,0,5,tidak
179958,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,,ya,sebelum 2020,menikah,ada,10238,11000.0,keluarga,1,0,0,tidak
792349,lebih dari 65 tahun,perempuan,antara 20-30 tahun,universitas,lebih dari 3x UMR,,ya,sebelum 2020,menikah,ada,32765,7000.0,keluarga,4,1,1,tidak
835584,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,kurang dari UMR,0.4297305787175271,tidak,sebelum 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,0,tidak
628311,antara 25-40 tahun,laki-laki,antara 10-20 tahun,SMA,kurang dari UMR,,ya,sebelum 2020,menikah,ada,10238,12000.0,keluarga,2,0,0,tidak
980138,lebih dari 65 tahun,perempuan,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6867094469004275,ya,sebelum 2020,menikah,ada,32765,7000.0,keluarga,3,1,1,tidak
265151,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,tidak ada,antara 2-3x UMR,0.3573674053757103,ya,setelah 2020,belum menikah,tidak ada,10238,14000.0,keluarga,2,0,1,tidak
981118,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,kurang dari UMR,0.3979969052622514,tidak,sebelum 2020,belum menikah,ada,92101,10000.0,keluarga,0,0,0,ya
71802,antara 40-65 tahun,laki-laki,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.499261090274185,ya,sebelum 2020,menikah,ada,10238,9000.0,sport,0,0,0,tidak
18985,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 1-2x UMR,0.353037465751883,tidak,sebelum 2020,belum menikah,ada,10238,14000.0,keluarga,0,0,2,tidak
943745,antara 40-65 tahun,perempuan,antara 10-20 tahun,tidak ada,antara 1-2x UMR,0.5112240535268353,tidak,sebelum 2020,belum menikah,ada,10238,,sport,0,0,0,ya
192473,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.6745265624555116,ya,setelah 2020,menikah,ada,32765,10000.0,keluarga,6,2,1,tidak
624420,lebih dari 65 tahun,perempuan,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.7212508700799819,ya,setelah 2020,menikah,tidak ada,32765,,keluarga,0,0,0,tidak
630765,antara 25-40 tahun,laki-laki,antara 10-20 tahun,tidak ada,antara 2-3x UMR,0.5046098109552535,tidak,sebelum 2020,belum menikah,ada,10238,8000.0,keluarga,2,0,4,tidak
551055,lebih dari 65 tahun,laki-laki,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.5540804042745787,ya,setelah 2020,belum menikah,ada,10238,14000.0,keluarga,0,0,0,tidak
802517,antara 40-65 tahun,perempuan,antara 20-30 tahun,tidak ada,kurang dari UMR,0.4952437707500946,tidak,sebelum 2020,belum menikah,ada,10238,16000.0,keluarga,1,0,0,tidak
21811,antara 25-40 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.2536981452565217,tidak,sebelum 2020,menikah,ada,10238,8000.0,keluarga,0,0,0,ya
112200,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,tidak ada,antara 2-3x UMR,0.378504877194302,ya,sebelum 2020,menikah,ada,10238,12000.0,keluarga,4,2,2,tidak
345853,antara 25-40 tahun,laki-laki,antara 10-20 tahun,tidak ada,antara 1-2x UMR,0.4687183422871271,tidak,setelah 2020,menikah,tidak ada,10238,,keluarga,1,0,1,tidak
153846,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6281887021933753,tidak,sebelum 2020,belum menikah,ada,10238,11000.0,keluarga,1,0,0,tidak
945619,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,antara 2-3x UMR,0.6943885556325824,tidak,setelah 2020,menikah,ada,10238,10000.0,keluarga,2,0,1,tidak
865814,antara 40-65 tahun,laki-laki,kurang dari 10 tahun,SMA,lebih dari 3x UMR,0.6287676720732993,ya,setelah 2020,belum menikah,ada,10238,17000.0,keluarga,0,0,0,tidak
460575,antara 40-65 tahun,perempuan,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6349882171781278,ya,sebelum 2020,belum menikah,ada,10238,12000.0,sport,0,0,0,tidak
380265,antara 25-40 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,,ya,sebelum 2020,belum menikah,tidak ada,10238,12000.0,keluarga,0,0,0,tidak
381865,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 2-3x UMR,0.6341069822933729,tidak,setelah 2020,belum menikah,tidak ada,32765,15000.0,sport,4,0,2,ya
240493,antara 25-40 tahun,laki-laki,antara 10-20 tahun,tidak ada,antara 1-2x UMR,0.3833086645172717,tidak,sebelum 2020,belum menikah,ada,10238,9000.0,keluarga,1,0,3,tidak
778864,lebih dari 65 tahun,perempuan,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.3895896430375335,ya,setelah 2020,belum menikah,ada,10238,,keluarga,0,0,0,tidak
316532,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,kurang dari UMR,0.3211351863308945,tidak,sebelum 2020,belum menikah,ada,32765,11000.0,keluarga,0,0,0,ya
757729,lebih dari 65 tahun,perempuan,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.7293609365968912,ya,setelah 2020,menikah,ada,32765,7000.0,keluarga,2,0,1,tidak
123802,antara 40-65 tahun,laki-laki,kurang dari 10 tahun,SMA,antara 2-3x UMR,0.6488951900742446,ya,sebelum 2020,menikah,ada,10238,12000.0,keluarga,0,0,0,ya
286,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,kurang dari UMR,0.2762350064240472,tidak,sebelum 2020,belum menikah,ada,10238,13000.0,keluarga,0,0,0,ya
34790,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.1882399427662648,ya,sebelum 2020,belum menikah,ada,10238,14000.0,keluarga,0,0,0,ya
578035,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.6211206784777938,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,1,1,2,tidak
431488,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.4455147420403712,ya,sebelum 2020,menikah,ada,10238,13000.0,keluarga,1,0,1,tidak
791566,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,,tidak,sebelum 2020,belum menikah,tidak ada,32765,13000.0,keluarga,0,0,0,ya
