UMUR,PEKERJAAN,STATUS_PERKAWINAN,PENDIDIKAN,KREDIT_RUMAH,PINJAMAN,MENGHUBUNGI_DENGAN,LAMA_BICARA,JUMLAH_KONTAK_SEKARANG,JUMLAH_KONTAK_SEBELUMNYA,HASIL_SEBELUMNYA,DEPOSITO
35,buruh,lajang,lulus SMP,tidak,tidak ada,HP,305,3,1,gagal,belum
31,administrasi,menikah,lulus universitas,ya,ada,HP,148,2,1,gagal,belum
36,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,146,3,1,gagal,belum
38,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,182,2,1,sukses,sukses
49,freelance,menikah,lulus universitas,ya,tidak ada,HP,110,1,1,gagal,belum
29,administrasi,lajang,lulus SMA,ya,tidak ada,HP,268,2,1,sukses,sukses
24,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,174,1,1,gagal,belum
37,administrasi,menikah,lulus diploma,ya,tidak ada,HP,1087,2,1,gagal,belum
40,buruh,menikah,lulus SMP,ya,tidak ada,HP,317,1,1,gagal,belum
42,buruh,menikah,lulus SMP,ya,tidak ada,HP,261,1,1,sukses,sukses
33,buruh,cerai,lulus SMP,tidak,ada,telepon rumah,18,6,1,gagal,belum
53,administrasi,menikah,lulus universitas,ya,ada,telepon rumah,824,1,2,sukses,sukses
49,teknisi,cerai,lulus diploma,ya,tidak ada,HP,251,2,1,sukses,sukses
48,administrasi,menikah,tidak lulus SD,ya,tidak ada,HP,224,3,2,gagal,belum
48,freelance,menikah,lulus universitas,ya,tidak ada,HP,141,2,1,gagal,belum
33,karyawan,lajang,lulus universitas,ya,tidak ada,HP,442,2,3,gagal,belum
31,buruh,lajang,lulus SMA,tidak,tidak ada,HP,90,1,1,gagal,belum
34,teknisi,lajang,lulus diploma,tidak,tidak ada,HP,121,1,1,gagal,belum
28,karyawan,lajang,lulus universitas,ya,tidak ada,HP,339,3,2,sukses,sukses
31,karyawan,lajang,lulus universitas,ya,tidak ada,HP,8,4,1,gagal,belum
31,teknisi,menikah,lulus diploma,ya,tidak ada,HP,250,4,2,sukses,belum
34,buruh,lajang,lulus SD,ya,tidak ada,HP,415,4,1,gagal,sukses
34,teknisi,lajang,lulus universitas,tidak,tidak ada,HP,285,3,1,gagal,sukses
28,buruh,lajang,lulus universitas,ya,tidak ada,HP,62,2,1,gagal,belum
58,administrasi,menikah,lulus SMA,ya,tidak ada,HP,318,4,1,gagal,belum
70,pensiunan,menikah,tidak lulus SD,ya,tidak ada,HP,331,1,2,sukses,sukses
37,teknisi,lajang,lulus diploma,ya,tidak ada,HP,56,2,1,gagal,belum
35,administrasi,menikah,lulus universitas,tidak,ada,telepon rumah,65,4,1,gagal,belum
51,buruh,menikah,lulus SMP,ya,tidak ada,HP,237,1,4,sukses,sukses
50,teknisi,menikah,lulus SD,tidak,tidak ada,HP,36,3,1,gagal,belum
50,buruh,cerai,lulus diploma,ya,tidak ada,HP,137,2,3,sukses,belum
31,buruh,menikah,lulus SMP,ya,tidak ada,HP,208,1,1,gagal,belum
46,administrasi,menikah,lulus universitas,tidak,tidak ada,telepon rumah,184,1,1,sukses,belum
36,administrasi,menikah,lulus universitas,ya,ada,HP,1178,1,2,sukses,sukses
35,administrasi,lajang,lulus universitas,ya,tidak ada,HP,75,1,1,gagal,belum
23,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,270,3,1,gagal,sukses
29,administrasi,cerai,lulus SMA,ya,ada,HP,78,2,1,gagal,belum
34,administrasi,menikah,lulus diploma,ya,ada,HP,409,1,1,gagal,sukses
49,buruh,cerai,lulus diploma,tidak,tidak ada,HP,17,8,1,gagal,belum
27,buruh,lajang,tidak lulus SD,ya,tidak ada,HP,191,2,1,gagal,belum
39,buruh,menikah,lulus diploma,ya,tidak ada,HP,177,1,1,gagal,belum
35,administrasi,menikah,lulus SMA,ya,tidak ada,HP,273,2,1,sukses,sukses
19,mahasiswa,lajang,lulus SMP,tidak,tidak ada,HP,96,1,1,sukses,belum
27,wiraswasta,cerai,lulus universitas,tidak,tidak ada,telepon rumah,9,5,1,gagal,belum
33,teknisi,lajang,lulus SMA,ya,tidak ada,HP,375,1,1,gagal,belum
52,karyawan,cerai,lulus universitas,ya,tidak ada,HP,161,1,1,gagal,belum
31,teknisi,menikah,lulus diploma,ya,tidak ada,HP,619,2,1,sukses,sukses
41,karyawan,cerai,lulus universitas,tidak,tidak ada,HP,164,5,3,sukses,sukses
58,administrasi,menikah,lulus universitas,ya,tidak ada,HP,549,5,2,gagal,belum
49,karyawan,menikah,lulus universitas,tidak,tidak ada,HP,289,1,1,gagal,belum
43,wiraswasta,menikah,tidak lulus SD,ya,tidak ada,HP,154,3,1,gagal,belum
41,teknisi,cerai,lulus universitas,tidak,tidak ada,HP,187,1,1,sukses,sukses
40,teknisi,menikah,lulus SD,ya,tidak ada,HP,156,5,1,gagal,belum
71,pensiunan,menikah,tidak lulus SD,ya,ada,HP,120,1,1,sukses,belum
35,buruh,menikah,lulus SMP,tidak,tidak ada,HP,381,1,1,gagal,belum
31,buruh,menikah,lulus SD,tidak,tidak ada,HP,588,2,1,gagal,belum
68,pensiunan,menikah,lulus diploma,tidak,ada,HP,420,1,1,gagal,sukses
24,teknisi,lajang,lulus diploma,ya,tidak ada,HP,1042,5,3,gagal,sukses
49,teknisi,lajang,lulus diploma,ya,tidak ada,HP,68,1,1,sukses,belum
27,administrasi,lajang,lulus SMA,tidak,tidak ada,HP,314,2,1,gagal,belum
37,administrasi,cerai,lulus SMA,tidak,tidak ada,HP,11,8,1,gagal,belum
24,mahasiswa,lajang,lulus diploma,tidak,ada,HP,133,3,2,gagal,belum
35,buruh,lajang,lulus SD,tidak,tidak ada,HP,370,1,1,gagal,belum
28,pelayan,lajang,lulus SMA,tidak,tidak ada,HP,561,4,1,gagal,belum
57,freelance,menikah,lulus universitas,ya,tidak ada,HP,208,3,1,gagal,belum
68,pensiunan,menikah,tidak lulus SD,ya,ada,HP,220,1,1,sukses,sukses
32,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,65,1,1,gagal,belum
40,PRT,cerai,lulus SMA,ya,tidak ada,HP,136,3,1,gagal,belum
26,administrasi,lajang,lulus universitas,ya,ada,HP,295,4,2,sukses,sukses
28,buruh,lajang,lulus SMP,tidak,tidak ada,HP,155,1,1,gagal,belum
26,buruh,lajang,lulus SMP,ya,tidak ada,HP,535,1,1,gagal,belum
32,buruh,lajang,lulus SD,ya,tidak ada,HP,211,1,1,gagal,belum
30,teknisi,lajang,lulus diploma,tidak,tidak ada,HP,275,1,5,gagal,belum
36,buruh,menikah,lulus SMP,ya,tidak ada,HP,156,1,1,gagal,belum
30,mahasiswa,lajang,lulus SMA,tidak,tidak ada,HP,226,2,2,sukses,sukses
42,administrasi,cerai,lulus SMA,ya,tidak ada,telepon rumah,15,5,1,gagal,belum
31,buruh,menikah,lulus SMP,ya,ada,HP,87,3,1,gagal,belum
37,teknisi,lajang,lulus universitas,ya,ada,HP,73,2,1,sukses,belum
36,administrasi,lajang,lulus SMA,ya,tidak ada,HP,220,1,1,gagal,belum
54,administrasi,menikah,lulus SMA,ya,tidak ada,HP,402,1,3,sukses,sukses
24,mahasiswa,lajang,lulus universitas,ya,tidak ada,HP,362,1,1,gagal,belum
48,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,148,1,1,gagal,belum
31,administrasi,lajang,lulus SMA,tidak,tidak ada,HP,439,1,1,sukses,sukses
32,buruh,menikah,lulus SMP,tidak,tidak ada,HP,18,1,1,gagal,belum
39,buruh,menikah,lulus SD,tidak,tidak ada,HP,124,1,1,gagal,belum
29,administrasi,lajang,lulus universitas,ya,ada,HP,43,4,1,gagal,belum
50,administrasi,lajang,lulus universitas,ya,tidak ada,HP,123,1,1,gagal,belum
37,mahasiswa,cerai,lulus universitas,ya,tidak ada,HP,489,1,1,gagal,sukses
50,buruh,menikah,lulus diploma,ya,tidak ada,HP,247,1,1,gagal,belum
43,administrasi,lajang,lulus SMA,tidak,tidak ada,HP,216,2,1,gagal,belum
35,pengangguran,cerai,lulus universitas,ya,ada,HP,66,1,1,gagal,belum
80,pensiunan,menikah,tidak lulus SD,ya,tidak ada,HP,76,1,2,sukses,belum
26,teknisi,lajang,lulus diploma,tidak,tidak ada,HP,588,3,2,gagal,sukses
48,karyawan,menikah,lulus universitas,tidak,tidak ada,HP,301,1,1,gagal,belum
35,administrasi,menikah,lulus universitas,ya,tidak ada,HP,86,1,1,gagal,belum
43,buruh,menikah,tidak lulus SD,ya,tidak ada,HP,135,3,1,gagal,belum
50,buruh,menikah,lulus diploma,tidak,tidak ada,HP,600,3,1,gagal,belum
27,pelayan,menikah,lulus SD,tidak,tidak ada,HP,142,2,1,gagal,belum
36,administrasi,menikah,lulus universitas,ya,tidak ada,HP,104,1,2,gagal,belum
32,teknisi,lajang,lulus diploma,tidak,tidak ada,HP,33,1,1,sukses,belum
34,administrasi,menikah,lulus universitas,ya,tidak ada,HP,612,1,2,gagal,belum
53,administrasi,lajang,lulus SMA,ya,tidak ada,HP,470,2,2,gagal,belum
29,pelayan,lajang,lulus SMA,tidak,tidak ada,HP,136,6,1,sukses,belum
32,teknisi,cerai,lulus diploma,ya,tidak ada,HP,78,1,1,gagal,belum
43,buruh,menikah,tidak lulus SD,tidak,tidak ada,HP,249,2,1,gagal,belum
34,buruh,menikah,lulus SMA,ya,tidak ada,HP,863,1,2,sukses,sukses
58,karyawan,cerai,lulus SMA,ya,tidak ada,HP,308,1,1,gagal,belum
24,karyawan,lajang,lulus universitas,ya,tidak ada,HP,45,4,1,gagal,belum
31,pelayan,menikah,lulus SMA,tidak,tidak ada,telepon rumah,271,2,2,sukses,sukses
46,administrasi,menikah,lulus SMA,tidak,tidak ada,HP,11,5,2,gagal,belum
39,teknisi,lajang,lulus diploma,ya,tidak ada,HP,83,1,1,gagal,belum
30,buruh,lajang,lulus SMP,ya,tidak ada,HP,340,3,1,gagal,belum
32,teknisi,lajang,lulus diploma,ya,tidak ada,telepon rumah,107,2,1,gagal,belum
43,karyawan,menikah,lulus universitas,ya,tidak ada,HP,87,2,1,gagal,belum
45,pengangguran,menikah,lulus diploma,tidak,tidak ada,telepon rumah,1405,1,2,gagal,sukses
31,administrasi,cerai,lulus diploma,ya,tidak ada,HP,292,2,1,gagal,sukses
56,administrasi,menikah,lulus SMP,tidak,ada,HP,225,2,1,gagal,belum
30,mahasiswa,lajang,lulus SMA,ya,ada,HP,102,3,1,sukses,belum
59,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,140,2,1,gagal,belum
33,administrasi,menikah,lulus universitas,ya,tidak ada,telepon rumah,148,3,1,gagal,belum
26,administrasi,lajang,lulus universitas,ya,tidak ada,HP,355,1,1,gagal,belum
56,karyawan,cerai,lulus universitas,tidak,tidak ada,HP,277,1,1,gagal,sukses
45,teknisi,lajang,lulus universitas,tidak,tidak ada,HP,272,1,1,gagal,belum
45,pelayan,cerai,lulus SMP,tidak,tidak ada,HP,215,1,1,gagal,belum
38,buruh,menikah,tidak lulus SD,ya,ada,HP,365,1,1,gagal,belum
32,administrasi,lajang,lulus universitas,ya,tidak ada,HP,206,2,1,gagal,belum
59,pensiunan,menikah,lulus diploma,tidak,tidak ada,telepon rumah,476,1,1,gagal,sukses
43,buruh,cerai,lulus SMP,ya,ada,HP,25,5,1,gagal,belum
26,administrasi,menikah,lulus SMA,ya,ada,HP,275,2,1,gagal,sukses
22,mahasiswa,lajang,lulus SMA,tidak,tidak ada,HP,245,2,2,gagal,belum
29,pelayan,lajang,lulus SMA,ya,tidak ada,HP,104,1,1,gagal,belum
29,pelayan,menikah,lulus SMA,ya,tidak ada,HP,161,1,1,gagal,belum
37,wiraswasta,menikah,lulus universitas,ya,tidak ada,telepon rumah,17,1,1,gagal,belum
26,administrasi,lajang,lulus universitas,ya,tidak ada,HP,410,3,1,gagal,belum
59,teknisi,menikah,lulus diploma,ya,tidak ada,telepon rumah,240,3,1,gagal,belum
50,administrasi,cerai,lulus universitas,ya,tidak ada,telepon rumah,609,2,1,gagal,belum
49,buruh,menikah,lulus diploma,ya,ada,HP,121,1,1,gagal,belum
49,buruh,menikah,lulus SMP,tidak,tidak ada,HP,135,1,2,gagal,belum
26,buruh,lajang,tidak lulus SD,tidak,ada,HP,54,1,1,gagal,belum
52,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,242,2,1,sukses,belum
38,karyawan,cerai,lulus universitas,tidak,tidak ada,HP,136,2,1,gagal,belum
31,teknisi,lajang,lulus universitas,tidak,tidak ada,HP,171,2,1,gagal,belum
28,administrasi,lajang,lulus universitas,ya,ada,HP,187,2,2,sukses,sukses
32,administrasi,menikah,lulus universitas,tidak,tidak ada,telepon rumah,546,3,1,gagal,belum
36,buruh,lajang,lulus SMP,ya,tidak ada,HP,82,2,1,gagal,belum
34,buruh,menikah,lulus SMP,tidak,tidak ada,HP,248,1,1,gagal,belum
51,PRT,menikah,tidak lulus SD,ya,ada,HP,97,1,1,gagal,belum
50,teknisi,cerai,lulus SMP,ya,tidak ada,HP,91,2,1,gagal,belum
53,pengangguran,menikah,lulus SMP,tidak,tidak ada,HP,205,2,1,gagal,belum
29,administrasi,menikah,lulus universitas,ya,tidak ada,HP,69,1,1,gagal,belum
27,teknisi,lajang,lulus diploma,tidak,tidak ada,HP,256,1,1,sukses,belum
38,administrasi,lajang,lulus universitas,ya,tidak ada,HP,153,1,1,sukses,sukses
27,administrasi,menikah,lulus universitas,ya,tidak ada,HP,173,2,2,gagal,sukses
20,mahasiswa,lajang,lulus SMA,ya,tidak ada,HP,166,1,1,sukses,sukses
44,administrasi,menikah,lulus SMP,tidak,tidak ada,HP,217,3,1,gagal,belum
41,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,116,4,1,gagal,belum
56,buruh,cerai,tidak lulus SD,ya,tidak ada,telepon rumah,361,1,4,gagal,belum
33,buruh,menikah,lulus SMP,tidak,tidak ada,HP,339,1,1,gagal,belum
28,teknisi,lajang,lulus diploma,ya,tidak ada,telepon rumah,296,1,1,gagal,belum
32,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,137,1,1,gagal,belum
28,teknisi,lajang,lulus diploma,ya,tidak ada,HP,238,2,1,sukses,sukses
22,mahasiswa,lajang,lulus SMA,ya,ada,telepon rumah,382,3,1,gagal,belum
40,pengangguran,menikah,lulus SMP,tidak,tidak ada,HP,143,3,1,gagal,belum
30,administrasi,lajang,lulus universitas,ya,tidak ada,HP,106,1,2,sukses,belum
33,administrasi,lajang,lulus universitas,ya,tidak ada,HP,400,1,2,sukses,sukses
57,pelayan,menikah,lulus SMA,ya,tidak ada,HP,275,2,1,gagal,belum
50,wiraswasta,menikah,lulus SMP,ya,tidak ada,HP,241,2,1,gagal,belum
24,administrasi,lajang,lulus SMA,tidak,tidak ada,HP,352,2,1,gagal,sukses
35,buruh,menikah,tidak lulus SD,tidak,ada,HP,285,2,1,gagal,belum
35,pelayan,menikah,lulus SMA,ya,tidak ada,HP,466,2,2,gagal,belum
43,buruh,menikah,tidak lulus SD,tidak,ada,HP,50,1,1,gagal,belum
34,administrasi,lajang,lulus SMA,ya,tidak ada,HP,217,6,1,gagal,belum
25,freelance,lajang,lulus universitas,tidak,tidak ada,HP,169,2,1,gagal,belum
56,karyawan,menikah,lulus universitas,tidak,tidak ada,telepon rumah,362,2,2,gagal,belum
34,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,140,2,1,gagal,belum
49,buruh,menikah,lulus SMP,tidak,tidak ada,HP,324,2,1,gagal,belum
61,teknisi,menikah,lulus diploma,tidak,tidak ada,HP,106,2,1,gagal,sukses
26,wiraswasta,menikah,lulus diploma,tidak,tidak ada,telepon rumah,75,10,2,gagal,belum
46,freelance,cerai,lulus SMA,tidak,tidak ada,HP,267,2,1,gagal,sukses
30,buruh,lajang,lulus SMA,ya,ada,HP,86,2,1,gagal,belum
32,wiraswasta,menikah,lulus universitas,tidak,ada,HP,49,2,1,gagal,belum
70,pensiunan,menikah,tidak lulus SD,tidak,tidak ada,HP,122,1,3,gagal,belum
35,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,280,1,1,gagal,belum
58,administrasi,menikah,lulus SMA,tidak,tidak ada,HP,337,1,1,sukses,sukses
64,PRT,menikah,tidak lulus SD,tidak,tidak ada,HP,422,1,2,sukses,sukses
53,wiraswasta,menikah,lulus SMP,ya,tidak ada,HP,146,2,1,gagal,belum
24,buruh,lajang,lulus SMA,ya,tidak ada,HP,202,1,3,gagal,belum
41,administrasi,lajang,lulus SMA,tidak,tidak ada,HP,131,2,1,gagal,belum
52,administrasi,menikah,lulus universitas,ya,tidak ada,HP,181,2,1,gagal,belum
55,administrasi,menikah,lulus SMA,tidak,tidak ada,telepon rumah,229,1,1,sukses,sukses
35,buruh,cerai,lulus SMP,ya,tidak ada,HP,523,1,1,gagal,belum
63,pensiunan,menikah,lulus universitas,ya,tidak ada,HP,79,1,2,gagal,belum
54,administrasi,lajang,lulus universitas,ya,tidak ada,HP,119,1,1,gagal,belum
33,pelayan,lajang,lulus SD,ya,ada,telepon rumah,19,8,1,gagal,belum
27,mahasiswa,menikah,lulus universitas,tidak,tidak ada,HP,59,1,1,gagal,belum
31,buruh,menikah,lulus SMP,ya,tidak ada,HP,122,1,1,gagal,belum
21,mahasiswa,lajang,lulus SMA,tidak,tidak ada,HP,258,4,1,gagal,belum
52,administrasi,menikah,lulus SMP,ya,tidak ada,HP,38,2,1,gagal,belum
42,buruh,menikah,tidak lulus SD,tidak,tidak ada,HP,264,1,1,gagal,belum
46,administrasi,menikah,lulus universitas,ya,tidak ada,telepon rumah,154,8,1,gagal,belum
36,buruh,menikah,lulus SMP,tidak,tidak ada,HP,56,1,1,gagal,belum
41,administrasi,menikah,lulus SMA,tidak,ada,HP,239,2,1,gagal,belum
45,administrasi,menikah,lulus SMA,ya,tidak ada,HP,182,2,1,gagal,belum
58,pengangguran,menikah,lulus SMP,ya,tidak ada,HP,229,1,1,sukses,sukses
41,administrasi,cerai,lulus SMA,ya,tidak ada,HP,178,1,2,sukses,sukses
34,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,134,1,3,sukses,belum
54,PRT,menikah,lulus diploma,tidak,tidak ada,telepon rumah,1745,3,1,gagal,belum
52,administrasi,menikah,lulus diploma,ya,ada,HP,139,2,1,sukses,belum
60,buruh,menikah,tidak lulus SD,ya,tidak ada,HP,176,1,1,gagal,belum
55,buruh,menikah,lulus diploma,ya,ada,HP,197,3,1,gagal,belum
27,buruh,lajang,lulus SMA,tidak,tidak ada,HP,253,1,2,gagal,sukses
39,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,2219,1,1,gagal,belum
25,mahasiswa,lajang,lulus universitas,ya,tidak ada,HP,92,1,1,gagal,belum
69,pensiunan,menikah,lulus SMP,ya,tidak ada,HP,71,1,1,sukses,belum
34,administrasi,menikah,lulus universitas,ya,tidak ada,HP,88,3,1,gagal,belum
35,administrasi,lajang,lulus diploma,ya,tidak ada,HP,92,3,4,gagal,belum
25,administrasi,lajang,lulus SMA,ya,ada,HP,795,6,1,gagal,belum
56,karyawan,menikah,lulus diploma,ya,tidak ada,HP,240,2,1,gagal,belum
41,teknisi,cerai,lulus universitas,ya,tidak ada,HP,366,2,3,sukses,sukses
28,administrasi,lajang,lulus SMP,tidak,ada,HP,549,1,1,sukses,sukses
34,administrasi,menikah,lulus SMA,tidak,tidak ada,HP,166,5,1,gagal,belum
69,pensiunan,cerai,lulus diploma,tidak,tidak ada,HP,213,6,2,gagal,sukses
33,pelayan,lajang,lulus universitas,ya,tidak ada,HP,252,2,2,sukses,sukses
41,buruh,menikah,lulus SMA,ya,tidak ada,HP,121,1,1,gagal,belum
29,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,424,1,1,gagal,sukses
24,pelayan,lajang,lulus SMA,ya,tidak ada,HP,860,2,2,gagal,sukses
45,teknisi,lajang,lulus universitas,tidak,tidak ada,HP,445,2,1,gagal,belum
39,administrasi,lajang,lulus diploma,ya,tidak ada,HP,209,5,1,gagal,belum
83,pensiunan,cerai,tidak lulus SD,tidak,tidak ada,HP,242,1,3,sukses,sukses
39,administrasi,lajang,lulus universitas,ya,tidak ada,HP,273,4,1,gagal,belum
43,buruh,menikah,lulus SD,tidak,tidak ada,HP,623,2,2,gagal,belum
46,freelance,menikah,lulus SD,ya,tidak ada,HP,32,1,1,gagal,belum
33,wiraswasta,menikah,lulus SMP,tidak,tidak ada,HP,349,2,1,gagal,belum
59,administrasi,cerai,lulus SMA,tidak,tidak ada,HP,357,3,2,sukses,sukses
40,karyawan,menikah,lulus universitas,tidak,tidak ada,telepon rumah,367,2,2,sukses,sukses
29,pelayan,lajang,lulus SMA,tidak,tidak ada,HP,854,2,1,gagal,sukses
38,pelayan,cerai,lulus SMA,tidak,tidak ada,HP,311,1,1,gagal,belum
37,freelance,lajang,lulus SMP,ya,tidak ada,HP,82,2,1,gagal,belum
45,administrasi,cerai,lulus diploma,ya,ada,telepon rumah,44,1,1,gagal,belum
58,karyawan,menikah,lulus universitas,tidak,tidak ada,HP,289,1,4,sukses,sukses
60,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,316,1,2,sukses,sukses
34,teknisi,menikah,lulus SMA,ya,tidak ada,HP,190,1,4,sukses,sukses
43,teknisi,menikah,lulus diploma,ya,tidak ada,HP,166,3,1,gagal,belum
46,administrasi,menikah,lulus SMP,tidak,tidak ada,HP,175,2,1,gagal,belum
59,administrasi,cerai,lulus SMP,ya,tidak ada,HP,8,6,1,gagal,belum
31,administrasi,menikah,lulus SMA,tidak,tidak ada,HP,161,1,1,sukses,belum
39,administrasi,menikah,lulus SMA,ya,tidak ada,HP,552,1,2,sukses,sukses
34,administrasi,lajang,lulus universitas,tidak,tidak ada,HP,101,4,1,gagal,belum
74,pensiunan,menikah,lulus diploma,ya,tidak ada,HP,96,2,1,sukses,belum
46,pelayan,menikah,lulus SMA,tidak,tidak ada,HP,270,2,1,gagal,belum
34,administrasi,menikah,lulus SMA,ya,tidak ada,HP,321,4,3,gagal,belum
33,administrasi,menikah,lulus universitas,ya,tidak ada,HP,37,2,1,gagal,belum
28,teknisi,lajang,lulus SMA,ya,tidak ada,HP,134,3,1,gagal,belum
29,mahasiswa,lajang,lulus diploma,tidak,tidak ada,HP,227,3,2,sukses,sukses
32,pelayan,lajang,lulus universitas,ya,tidak ada,HP,404,1,3,sukses,sukses
45,teknisi,menikah,lulus diploma,tidak,tidak ada,HP,504,1,1,sukses,sukses
47,administrasi,menikah,lulus SMA,ya,tidak ada,HP,437,1,1,gagal,sukses
45,teknisi,menikah,lulus universitas,tidak,tidak ada,HP,111,2,1,gagal,belum
36,administrasi,cerai,lulus universitas,tidak,tidak ada,HP,559,1,1,sukses,sukses
37,pengangguran,menikah,lulus universitas,ya,tidak ada,HP,614,3,2,sukses,sukses
52,karyawan,menikah,lulus SD,ya,tidak ada,HP,97,3,1,gagal,belum
56,PRT,cerai,tidak lulus SD,ya,tidak ada,HP,414,1,1,gagal,sukses
56,administrasi,menikah,lulus SMP,ya,tidak ada,HP,1573,2,1,gagal,belum
33,pelayan,lajang,lulus SMA,ya,tidak ada,HP,486,1,2,gagal,belum
60,pensiunan,menikah,lulus SMA,ya,tidak ada,HP,443,2,2,gagal,sukses
27,administrasi,lajang,lulus universitas,ya,tidak ada,HP,210,1,2,sukses,sukses
59,pelayan,menikah,lulus diploma,ya,tidak ada,HP,251,3,4,sukses,belum
64,pengangguran,menikah,lulus universitas,ya,tidak ada,HP,248,1,2,gagal,belum
39,pengangguran,lajang,lulus universitas,ya,tidak ada,HP,387,1,2,sukses,sukses
24,mahasiswa,lajang,lulus diploma,tidak,tidak ada,HP,429,2,3,sukses,sukses
50,buruh,menikah,lulus SMP,ya,tidak ada,HP,99,1,1,gagal,belum
38,administrasi,cerai,lulus SMP,tidak,tidak ada,HP,139,2,3,gagal,belum
39,teknisi,menikah,lulus diploma,tidak,tidak ada,HP,31,2,1,gagal,belum
37,karyawan,menikah,lulus universitas,tidak,tidak ada,HP,658,3,1,gagal,belum
25,teknisi,lajang,lulus diploma,ya,tidak ada,HP,712,2,1,sukses,sukses
28,teknisi,lajang,lulus SMP,ya,tidak ada,HP,263,1,1,gagal,belum
48,buruh,menikah,lulus SMP,tidak,tidak ada,HP,214,1,1,gagal,belum
29,administrasi,lajang,lulus universitas,tidak,ada,HP,527,2,1,sukses,belum
66,pensiunan,menikah,lulus diploma,tidak,ada,HP,525,1,2,gagal,sukses
37,karyawan,menikah,lulus universitas,ya,ada,telepon rumah,365,2,1,sukses,belum
58,pelayan,menikah,lulus SMA,ya,tidak ada,HP,88,3,2,gagal,belum
58,PRT,lajang,lulus diploma,tidak,tidak ada,HP,158,2,2,sukses,belum
41,freelance,menikah,lulus SMP,ya,tidak ada,HP,1135,3,1,gagal,sukses
48,administrasi,menikah,lulus universitas,ya,tidak ada,HP,111,2,1,gagal,belum
32,karyawan,menikah,lulus universitas,ya,ada,HP,36,9,1,gagal,belum
39,pelayan,cerai,lulus SD,tidak,tidak ada,HP,286,2,1,gagal,belum
23,mahasiswa,lajang,lulus SMA,ya,tidak ada,HP,143,2,1,gagal,belum
33,pelayan,menikah,lulus SMA,tidak,tidak ada,telepon rumah,63,1,1,gagal,belum
47,administrasi,cerai,lulus SMA,ya,tidak ada,HP,816,1,1,gagal,belum
40,teknisi,menikah,lulus diploma,ya,tidak ada,HP,580,1,1,gagal,belum
33,buruh,menikah,lulus SMP,tidak,tidak ada,HP,804,2,1,sukses,belum
38,administrasi,lajang,lulus SMA,ya,tidak ada,HP,141,1,2,gagal,belum
39,karyawan,lajang,lulus universitas,ya,tidak ada,HP,103,1,1,gagal,belum
23,mahasiswa,lajang,lulus SMP,tidak,tidak ada,HP,145,2,1,gagal,belum
28,teknisi,lajang,lulus diploma,ya,ada,telepon rumah,43,1,1,gagal,belum
33,teknisi,menikah,lulus diploma,tidak,tidak ada,HP,45,2,1,gagal,belum
38,karyawan,cerai,lulus universitas,tidak,tidak ada,HP,611,1,1,gagal,belum
37,PRT,menikah,lulus universitas,tidak,tidak ada,HP,549,2,4,sukses,sukses
37,karyawan,menikah,lulus universitas,tidak,tidak ada,HP,262,2,1,gagal,belum
35,buruh,menikah,tidak lulus SD,ya,tidak ada,HP,220,1,1,gagal,belum
38,administrasi,cerai,lulus SMA,ya,tidak ada,HP,469,1,1,gagal,belum
28,teknisi,lajang,lulus SMA,ya,ada,HP,48,4,1,gagal,belum
46,administrasi,menikah,lulus SMA,ya,tidak ada,HP,293,1,1,gagal,belum
35,teknisi,menikah,lulus diploma,ya,tidak ada,HP,16,6,1,gagal,belum
35,buruh,lajang,lulus SMP,ya,tidak ada,HP,83,2,1,gagal,belum
38,administrasi,lajang,lulus universitas,ya,tidak ada,HP,305,1,1,gagal,belum
46,pengangguran,lajang,lulus universitas,tidak,tidak ada,HP,263,1,2,sukses,sukses
54,teknisi,menikah,lulus universitas,ya,tidak ada,HP,325,1,1,sukses,belum
39,buruh,menikah,lulus SMP,ya,tidak ada,HP,120,1,1,gagal,belum
72,pensiunan,menikah,lulus diploma,tidak,tidak ada,HP,87,1,1,sukses,sukses
66,pensiunan,cerai,lulus SMA,tidak,tidak ada,HP,211,1,1,gagal,belum
27,mahasiswa,lajang,lulus universitas,ya,tidak ada,HP,651,1,3,sukses,sukses
33,administrasi,lajang,lulus universitas,ya,tidak ada,telepon rumah,166,3,2,sukses,sukses
37,pelayan,menikah,lulus SMA,tidak,ada,HP,175,1,1,gagal,belum
44,administrasi,menikah,lulus universitas,tidak,tidak ada,HP,120,1,1,gagal,belum
39,karyawan,menikah,lulus SMA,tidak,tidak ada,HP,163,2,1,gagal,belum
